file,source,stratum,sha256,original_path
microsoft_TypeScript_codeql.yml,top-100,microsoft_TypeScript,bb6f7b8e9b0c4c8a,scripts/top-100-workflows/microsoft_TypeScript_codeql.yml
microsoft_TypeScript_sync-wiki.yml,top-100,microsoft_TypeScript,ab9c08bb0bc4fb81,scripts/top-100-workflows/microsoft_TypeScript_sync-wiki.yml
denoland_deno_ci.yml,top-100,denoland_deno,b02e8b1a6f3476ec,scripts/top-100-workflows/denoland_deno_ci.yml
storybookjs_storybook_prepare-patch-release.yml,top-100,storybookjs_storybook,39fa238f8421e263,scripts/top-100-workflows/storybookjs_storybook_prepare-patch-release.yml
TheAlgorithms_Python_sphinx.yml,top-100,TheAlgorithms_Python,550c216b05ae75ad,scripts/top-100-workflows/TheAlgorithms_Python_sphinx.yml
vercel_next.js_create_release_branch.yml,top-100,vercel_next.js,dce344f6c4b2963e,scripts/top-100-workflows/vercel_next.js_create_release_branch.yml
freeCodeCamp_freeCodeCamp_i18n-validate-prs.yml,top-100,freeCodeCamp_freeCodeCamp,6dcd2f6b1955d3b8,scripts/top-100-workflows/freeCodeCamp_freeCodeCamp_i18n-validate-prs.yml
Anduin2017_HowToCook_ci.yml,top-100,Anduin2017_HowToCook,34ab35f7113f823d,scripts/top-100-workflows/Anduin2017_HowToCook_ci.yml
langchain-ai_langchain_check-broken-links.yml,top-100,langchain-ai_langchain,2a7f22e9412f85a4,scripts/top-100-workflows/langchain-ai_langchain_check-broken-links.yml
ant-design_ant-design_sync-gitee.yml,top-100,ant-design_ant-design,f3d37d33615a6899,scripts/top-100-workflows/ant-design_ant-design_sync-gitee.yml
godotengine_godot_macos_builds.yml,top-100,godotengine_godot,08f2033a6311c039,scripts/top-100-workflows/godotengine_godot_macos_builds.yml
flutter_flutter_easy-cp.yml,top-100,flutter_flutter,ec4525cc072a616d,scripts/top-100-workflows/flutter_flutter_easy-cp.yml
storybookjs_storybook_tests-unit.yml,top-100,storybookjs_storybook,0b32354003477fee,scripts/top-100-workflows/storybookjs_storybook_tests-unit.yml
f_awesome-chatgpt-prompts_auto_commands.yml,top-100,f_awesome-chatgpt-prompts,5a7cf6afa66d655a,scripts/top-100-workflows/f_awesome-chatgpt-prompts_auto_commands.yml
langflow-ai_langflow_lint-py.yml,top-100,langflow-ai_langflow,02122594f277b77b,scripts/top-100-workflows/langflow-ai_langflow_lint-py.yml
yt-dlp_yt-dlp_release-nightly.yml,top-100,yt-dlp_yt-dlp,82afb9557a10cf68,scripts/top-100-workflows/yt-dlp_yt-dlp_release-nightly.yml
mrdoob_three.js_codeql-code-scanning.yml,top-100,mrdoob_three.js,0d225063b33c1657,scripts/top-100-workflows/mrdoob_three.js_codeql-code-scanning.yml
angular_angular_adev-preview-build.yml,top-100,angular_angular,eb07c241ea60e0ba,scripts/top-100-workflows/angular_angular_adev-preview-build.yml
tauri-apps_tauri_test-cli-js.yml,top-100,tauri-apps_tauri,45710fec6f620da4,scripts/top-100-workflows/tauri-apps_tauri_test-cli-js.yml
fastapi_fastapi_people.yml,top-100,fastapi_fastapi,1c5c237e5336f6c2,scripts/top-100-workflows/fastapi_fastapi_people.yml
godotengine_godot_cache_cleanup.yml,top-100,godotengine_godot,543878ba58195f1c,scripts/top-100-workflows/godotengine_godot_cache_cleanup.yml
microsoft_terminal_winget.yml,top-100,microsoft_terminal,46613708f5007f3f,scripts/top-100-workflows/microsoft_terminal_winget.yml
facebook_react-native_generate-changelog.yml,top-100,facebook_react-native,1618f535dd0c1f50,scripts/top-100-workflows/facebook_react-native_generate-changelog.yml
facebook_react_runtime_fuzz_tests.yml,top-100,facebook_react,e459b56eaaf666d8,scripts/top-100-workflows/facebook_react_runtime_fuzz_tests.yml
vercel_next.js_rspack-nextjs-build-integration-tests.yml,top-100,vercel_next.js,756d1a3a333c8e82,scripts/top-100-workflows/vercel_next.js_rspack-nextjs-build-integration-tests.yml
angular_angular_adev-preview-deploy.yml,top-100,angular_angular,5a2c23ef8cbd0700,scripts/top-100-workflows/angular_angular_adev-preview-deploy.yml
tauri-apps_tauri_udeps.yml,top-100,tauri-apps_tauri,8f93b399a831af1a,scripts/top-100-workflows/tauri-apps_tauri_udeps.yml
yt-dlp_yt-dlp_quick-test.yml,top-100,yt-dlp_yt-dlp,f21b801dd3ce2109,scripts/top-100-workflows/yt-dlp_yt-dlp_quick-test.yml
supabase_supabase_docs-last-changed.yml,top-100,supabase_supabase,76f17ca7aca47b11,scripts/top-100-workflows/supabase_supabase_docs-last-changed.yml
supabase_supabase_docs-lint-v2.yml,top-100,supabase_supabase,b8801c3b6fb09922,scripts/top-100-workflows/supabase_supabase_docs-lint-v2.yml
mrdoob_three.js_ci.yml,top-100,mrdoob_three.js,7a08c01abd428879,scripts/top-100-workflows/mrdoob_three.js_ci.yml
tailwindlabs_tailwindcss_ci.yml,top-100,tailwindlabs_tailwindcss,fe42b026674e7d5d,scripts/top-100-workflows/tailwindlabs_tailwindcss_ci.yml
EbookFoundation_free-programming-books_fpb-lint.yml,top-100,EbookFoundation_free-programming-books,f0b8c12c59f9e3be,scripts/top-100-workflows/EbookFoundation_free-programming-books_fpb-lint.yml
puppeteer_puppeteer_devtools.yml,top-100,puppeteer_puppeteer,3c21daf449240ca5,scripts/top-100-workflows/puppeteer_puppeteer_devtools.yml
facebook_create-react-app_e2e-base.yml,top-100,facebook_create-react-app,02b94c1d9cc063e9,scripts/top-100-workflows/facebook_create-react-app_e2e-base.yml
mui_material-ui_vale-action.yml,top-100,mui_material-ui,bf48840aacf4696f,scripts/top-100-workflows/mui_material-ui_vale-action.yml
TheAlgorithms_Python_devcontainer_ci.yml,top-100,TheAlgorithms_Python,0f5c80db42244f55,scripts/top-100-workflows/TheAlgorithms_Python_devcontainer_ci.yml
langchain-ai_langchain_run_notebooks.yml,top-100,langchain-ai_langchain,150c6534ae60cd64,scripts/top-100-workflows/langchain-ai_langchain_run_notebooks.yml
Chalarangelo_30-seconds-of-code_test.yml,top-100,Chalarangelo_30-seconds-of-code,52ff57fd0bb194ae,scripts/top-100-workflows/Chalarangelo_30-seconds-of-code_test.yml
microsoft_PowerToys_dependency-review.yml,top-100,microsoft_PowerToys,8de6d3bdedc5e284,scripts/top-100-workflows/microsoft_PowerToys_dependency-review.yml
shadcn-ui_ui_code-check.yml,top-100,shadcn-ui_ui,ad2129988e139450,scripts/top-100-workflows/shadcn-ui_ui_code-check.yml
Chalarangelo_30-seconds-of-code_stale.yml,top-100,Chalarangelo_30-seconds-of-code,793479a754217c0d,scripts/top-100-workflows/Chalarangelo_30-seconds-of-code_stale.yml
mui_material-ui_priority-support-validation-prompt.yml,top-100,mui_material-ui,d577bb72a3b870d4,scripts/top-100-workflows/mui_material-ui_priority-support-validation-prompt.yml
iptv-org_iptv_update.yml,top-100,iptv-org_iptv,f2a968bdbd0e8838,scripts/top-100-workflows/iptv-org_iptv_update.yml
denoland_deno_title.yml,top-100,denoland_deno,7781ee42603861c9,scripts/top-100-workflows/denoland_deno_title.yml
microsoft_vscode_telemetry.yml,top-100,microsoft_vscode,24dfe6dc7c8c440f,scripts/top-100-workflows/microsoft_vscode_telemetry.yml
ohmyzsh_ohmyzsh_project.yml,top-100,ohmyzsh_ohmyzsh,c97dbc1c11684b63,scripts/top-100-workflows/ohmyzsh_ohmyzsh_project.yml
axios_axios_ci.yml,top-100,axios_axios,f2ee8ae1f6b1f775,scripts/top-100-workflows/axios_axios_ci.yml
goldbergyoni_nodebestpractices_lint-and-generate-html-from-markdown.yml,top-100,goldbergyoni_nodebestpractices,fd3a6ac815d3885b,scripts/top-100-workflows/goldbergyoni_nodebestpractices_lint-and-generate-html-from-markdown.yml
fastapi_fastapi_notify-translations.yml,top-100,fastapi_fastapi,f110913dcdc66d21,scripts/top-100-workflows/fastapi_fastapi_notify-translations.yml
EbookFoundation_free-programming-books_check-urls.yml,top-100,EbookFoundation_free-programming-books,27ccbc8f32f0e772,scripts/top-100-workflows/EbookFoundation_free-programming-books_check-urls.yml
microsoft_Web-Dev-For-Beginners_lock.yml,top-100,microsoft_Web-Dev-For-Beginners,73b89cebec35535a,scripts/top-100-workflows/microsoft_Web-Dev-For-Beginners_lock.yml
shadcn-ui_ui_release.yml,top-100,shadcn-ui_ui,780049312ae34e40,scripts/top-100-workflows/shadcn-ui_ui_release.yml
tensorflow_tensorflow_issue-on-pr-rollback.yml,top-100,tensorflow_tensorflow,7decf6127c530c4d,scripts/top-100-workflows/tensorflow_tensorflow_issue-on-pr-rollback.yml
puppeteer_puppeteer_release-please.yml,top-100,puppeteer_puppeteer,ac4bf3d05bd0b72b,scripts/top-100-workflows/puppeteer_puppeteer_release-please.yml
ossu_computer-science_delete-empty-issues.yml,top-100,ossu_computer-science,cc26e85905a7ae99,scripts/top-100-workflows/ossu_computer-science_delete-empty-issues.yml
excalidraw_excalidraw_test.yml,top-100,excalidraw_excalidraw,8822ccad12ca87c2,scripts/top-100-workflows/excalidraw_excalidraw_test.yml
goldbergyoni_nodebestpractices_update-date-in-last-update-badge.yml,top-100,goldbergyoni_nodebestpractices,be1b71ceaf7cce2c,scripts/top-100-workflows/goldbergyoni_nodebestpractices_update-date-in-last-update-badge.yml
microsoft_vscode_monaco-editor.yml,top-100,microsoft_vscode,38eaa89aac33b101,scripts/top-100-workflows/microsoft_vscode_monaco-editor.yml
facebook_create-react-app_build-and-test.yml,top-100,facebook_create-react-app,cca5caab986a7b13,scripts/top-100-workflows/facebook_create-react-app_build-and-test.yml
fatedier_frp_build-and-push-image.yml,top-100,fatedier_frp,ebc8fb47015b1d69,scripts/top-100-workflows/fatedier_frp_build-and-push-image.yml
excalidraw_excalidraw_test-coverage-pr.yml,top-100,excalidraw_excalidraw,5358d907c29a9c76,scripts/top-100-workflows/excalidraw_excalidraw_test-coverage-pr.yml
flutter_flutter_merge-changelog.yml,top-100,flutter_flutter,414be8976def67f0,scripts/top-100-workflows/flutter_flutter_merge-changelog.yml
yangshun_tech-interview-handbook_tsc.yml,top-100,yangshun_tech-interview-handbook,c05179173ac7bd0d,scripts/top-100-workflows/yangshun_tech-interview-handbook_tsc.yml
d3_d3_deploy.yml,top-100,d3_d3,d6200970a2e2ba25,scripts/top-100-workflows/d3_d3_deploy.yml
public-apis_public-apis_validate_links.yml,top-100,public-apis_public-apis,ff6e4e510ec413c3,scripts/top-100-workflows/public-apis_public-apis_validate_links.yml
Anduin2017_HowToCook_build.yml,top-100,Anduin2017_HowToCook,fef9bb786195a2a8,scripts/top-100-workflows/Anduin2017_HowToCook_build.yml
A_Azure-Samples_mlops-enterprise-template_setup.yml,mlops,A,b480c94459c31115,scripts/mlops-experiment/mlops-workflows/A_Azure-Samples_mlops-enterprise-template_setup.yml
A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml,mlops,A,28eefba8afab1393,scripts/mlops-experiment/mlops-workflows/A_Azure_mlops-v2-gha-demo_deploy-batch-endpoint-pipeline-classical.yml
A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml,mlops,A,0a60fea095d359d7,scripts/mlops-experiment/mlops-workflows/A_Azure_mlops-v2-gha-demo_tf-gha-deploy-infra.yml
B_iterative_cml-playground_checks-publish.yml,mlops,B,9df87e290708bb1e,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_checks-publish.yml
B_iterative_cml-playground_cml-1116.yml,mlops,B,96ae17a33947838d,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-1116.yml
B_iterative_cml-playground_cml-1049-2.yml,mlops,B,9d09f05a22592b67,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-1049-2.yml
B_iterative_setup-cml_check.yml,mlops,B,951ca77c3504cf65,scripts/mlops-experiment/mlops-workflows/B_iterative_setup-cml_check.yml
B_iterative_cml-playground_cml-1065.yml,mlops,B,02a3397d7ddb37dc,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-1065.yml
B_iterative_cml-playground_cml-1233.yml,mlops,B,14d7509ba7e04760,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-1233.yml
B_iterative_cml-playground_checks-lights-aws.yml,mlops,B,cdb801802f469ef4,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_checks-lights-aws.yml
B_iterative_cml_images.yml,mlops,B,c8b82f88a641a4ab,scripts/mlops-experiment/mlops-workflows/B_iterative_cml_images.yml
B_iterative_cml-playground_cml-575.yml,mlops,B,d8e3ab3c6491b737,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-575.yml
B_iterative_cml-playground_cml-1063.yml,mlops,B,c0413afacaccc00f,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-1063.yml
B_iterative_cml-playground_tpi-621.yml,mlops,B,0c410114abddd465,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_tpi-621.yml
B_iterative_cml-playground_cml-1344.yml,mlops,B,a14e3f8c8cee2a39,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_cml-1344.yml
B_iterative_cml-playground_checks-pr.yml,mlops,B,f4b0e257a464faa1,scripts/mlops-experiment/mlops-workflows/B_iterative_cml-playground_checks-pr.yml
C_evidentlyai_evidently-ci-example_local.yml,mlops,C,440f3193c3bba271,scripts/mlops-experiment/mlops-workflows/C_evidentlyai_evidently-ci-example_local.yml
D_fmind_mlops-python-package_check.yml,mlops,D,8b6510cb68fd904a,scripts/mlops-experiment/mlops-workflows/D_fmind_mlops-python-package_check.yml
E_langchain-samples_cicd-pipeline-example_preview-deployment.yml,mlops,E,a9c684d7f269cef5,scripts/mlops-experiment/mlops-workflows/E_langchain-samples_cicd-pipeline-example_preview-deployment.yml
E_promptfoo_promptfoo-action_test.yml,mlops,E,c968b4c5ac053960,scripts/mlops-experiment/mlops-workflows/E_promptfoo_promptfoo-action_test.yml
